33;VALENCE //Rouge;NARBONNE //Orange;CLERMONT FERRAND //Vert;POITIERS //Rouge;ORLEANS //Rouge;TOULON //Orange;BEZIERS //Vert;MACON //Vert;;;;
34;ANNECY //Noir;RENNES //Noir;BOULOGNE SUR MER //Vert;CHAMBERY //Rouge;LORIENT //Rouge;CLERMONT FERRAND //Vert;;;;;;
35;MONTPELLIER //Noir;BEZIERS //Vert;NIMES //Rouge;ALES //Vert;NARBONNE //Orange;VALENCE //Rouge;;;;;;
36;VESOUL //Vert;DIJON //Noir;LYON //Noir;METZ //Rouge;STRASBOURG //Rouge;MONTBELLIARD //Vert;;;;;;
37;DRAGUIGNAN //Vert;TOULON //Orange;MARSEILLE //Rouge;GRASSE //Rouge;AIX //Noir;DIGNE LES BAINS //Vert;;;;;;
38;ANNECY //Noir;CHAMBERY //Rouge;TOULOUSE //Rouge;BAYONNE //Noir;ALBERTVILLE //Vert;TOULON //Orange;;;;;;
39;MONTAUBAN //Rouge;MONT-DE-MARSAN //Vert;PAU //Rouge;CLERMONT FERRAND //Vert;DRAGUIGNAN //Vert;TARBES //Vert;;;;;;
40;BOBIGNY //Rouge;CRETEIL //Rouge;LILLE //Rouge;STRASBOURG //Rouge;MEAUX //Orange;BOULOGNE SUR MER //Vert;;;;;;
41;LA ROCHE S/ YON //Vert;LA ROCHELLE  //Noir;ORLEANS //Rouge;LORIENT //Rouge;COUTANCES //Vert;LES SABLES D'OLONNE //Vert;LAVAL //Vert;;;;;
42;LILLE //Rouge;BAYONNE //Noir;PAU //Rouge;ROUEN //Noir;BOULOGNE SUR MER //Vert;SAINT BRIEUC //Orange;BREST //Orange;LA ROCHELLE  //Noir;;;;
43;PONTOISE //Rouge;CRETEIL //Rouge;EVRY //Rouge;ARRAS //Vert;COMPIEGNE //Vert;MEAUX //Orange;;;;;;
44;NANTES  //Noir;RENNES //Noir;TOULOUSE //Rouge;TOULON //Orange;PERPIGNAN //Rouge;NANCY //Vert;PAU //Rouge;PONTOISE //Rouge;CRETEIL //Rouge;VALENCE //Rouge;METZ //Rouge;NIMES //Rouge
45;STRASBOURG //Rouge;ANNECY //Noir;EPINAL //Vert;COLMAR //Orange;DIJON //Noir;MULHOUSE //Orange;;;;;;
46;MELUN //Noir;PONTOISE //Rouge;EVRY //Rouge;MEAUX //Orange;BOBIGNY //Rouge;CHARTRES //Orange;PARIS //Noir;NANTERRE //Noir;;;;
47;CHAMBERY //Rouge;CHALON SUR SAONE //Vert;BOURG/BRES. //Vert;DIJON //Noir;MONTAUBAN //Rouge;MONTBELLIARD //Vert;LA ROCHE S/ YON //Vert;;;;;
48;VALENCE //Rouge;SAINT-ETIENNE //Orange;LYON //Noir;VIENNE //Noir;BOURG/BRES. //Vert;NIMES //Rouge;;;;;;
49;MONTARGIS //Vert;CHARTRES //Orange;CRETEIL //Rouge;ARRAS //Vert;ORLEANS //Rouge;LE MANS //Rouge;DOUAI //Orange;SOISSONS //Vert;SENLIS //Vert;AMIENS //Noir;LILLE //Rouge;NANTERRE //Noir
50;LE MANS //Rouge;ROUEN //Noir;TOURS //Noir;COUTANCES //Vert;CHERBOURG //Vert;LILLE //Rouge;;;;;;
51;ANNECY //Noir;SAINT-ETIENNE //Orange;CHAMBERY //Rouge;VALENCE //Rouge;BOURG/BRES. //Vert;AVIGNON //Noir;MACON //Vert;;;;;
52;MONTPELLIER //Noir;LYON //Noir;STRASBOURG //Rouge;LILLE //Rouge;TOULON //Orange;NANCY //Vert;NICE //Rouge;METZ //Rouge;AJACCIO //Rouge;THONON LES BAINS //Vert;SAINT MALO //Vert;BEZIERS //Vert
53;MARSEILLE //Rouge;PARIS //Noir;BAYONNE //Noir;CRETEIL //Rouge;MEAUX //Orange;TOULON //Orange;;;;;;
54;MELUN //Noir;REIMS //Noir;AUXERRE //Vert;TROYES //Vert;SENLIS //Vert;CHARTRES //Orange;;;;;;
55;TOURS //Noir;LA ROCHELLE  //Noir;POITIERS //Rouge;VALENCE //Rouge;BLOIS //Orange;MEAUX //Orange;ANGERS //Noir;ROUEN //Noir;;;;
56;SAINT-ETIENNE //Orange;BOURG/BRES. //Vert;CHAMBERY //Rouge;GRENOBLE //Rouge;STRASBOURG //Rouge;AVIGNON //Noir;;;;;;
57;METZ //Rouge;NANCY //Vert;ORLEANS //Rouge;BREST //Orange;PAU //Rouge;AMIENS //Noir;;;;;;
58;MONTAUBAN //Rouge;TOULOUSE //Rouge;CARCASSONNE //Vert;AGEN //Noir;ALBI //Orange;CAHORS //Vert;FOIX //Vert;AUCH //Vert;NARBONNE //Orange;TARBES //Vert;PAU //Rouge;CLERMONT FERRAND //Vert
59;MELUN //Noir;ROUEN //Noir;ORLEANS //Rouge;CHARTRES //Orange;TROYES //Vert;BLOIS //Orange;AMIENS //Noir;AUXERRE //Vert;;;
60;AVIGNON //Noir;LA ROCHELLE  //Noir;STRASBOURG //Rouge;TOULOUSE //Rouge;BREST //Orange;NANCY //Vert;;;;;;
61;NICE //Rouge;GRASSE //Rouge;AJACCIO //Rouge;BASTIA //Orange;VALENCE //Rouge;VILLEFRANCHE SUR SAONE //Vert;AIX //Noir;LYON //Noir;GRENOBLE //Rouge;MONTPELLIER //Noir;DRAGUIGNAN //Vert;MARSEILLE //Rouge
