Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
238,METZ,5,STRASBOURG,LORIENT,LE HAVRE,SAINT-NAZAIRE,METZ,NANCY
290,METZ,3,REIMS,ARRAS,METZ,BETHUNE,NANCY,BOULOGNE-SUR-MER
64,MONT-DE-MARSAN,3,BAYONNE,LA ROCHELLE,MONT-DE-MARSAN,TOULOUSE,PAU,TARBES
240,MONTAUBAN,1,MONTAUBAN,LA ROCHELLE,SAINTES,TOULOUSE,ALBI,TARBES
262,MONTBELIARD,2,BESANCON,MONTBELIARD,BELFORT,COLMAR,LONS-LE-SAUNIER,NANCY
24,MONTPELLIER,1,MONTPELLIER,GRENOBLE,CARPENTRAS,BEZIERS,PRIVAS,GAP
134,MONTPELLIER,1,MONTPELLIER,NIMES,BEZIERS,NARBONNE,COUTANCES,PERPIGNAN
118,MOULINS,5,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,MACON,NEVERS,MOULINS,ROANNE
121,MULHOUSE,2,COLMAR,MULHOUSE,DIJON,NANCY,METZ,LILLE
222,MULHOUSE,3,STRASBOURG,COLMAR,MULHOUSE,SAVERNE,NANCY,LONS-LE-SAUNIER
251,MULHOUSE,2,STRASBOURG,MULHOUSE,DIJON,LYON,BEAUVAIS,VESOUL
46,NANCY,4,CRETEIL,NANTERRE,LILLE,NANCY,LE HAVRE,BEAUVAIS
123,NANCY,2,BESANCON,NANCY,COLMAR,METZ,BOURG-EN-BRESSE,TROYES
174,NANCY,5,MARSEILLE,NANTERRE,CRETEIL,PONTOISE,NANCY,BOULOGNE-SUR-MER
283,NANCY,5,MARSEILLE,LILLE,LYON,TOULOUSE,NANCY,BOULOGNE-SUR-MER
30,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,SENLIS,BEAUVAIS
66,NANTERRE,1,NANTERRE,PONTOISE,CRETEIL,LILLE,BEAUVAIS,NANCY
67,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,LILLE,BEAUVAIS,SENLIS
109,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,BEAUVAIS,SENLIS
187,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,NANCY,METZ
185,NARBONNE,3,AJACCIO,BASTIA,NARBONNE,LYON,NANCY,PAU
217,NARBONNE,1,NARBONNE,NIMES,AIX-EN-PROVENCE,TOULOUSE,PERPIGNAN,CASTRES
6,NEVERS,5,ALBI,BASTIA,PERIGUEUX,MONTAUBAN,NEVERS,MONT-DE-MARSAN
13,NEVERS,1,NEVERS,CLERMONT-FERRAND,DIJON,BOURGES,ORLEANS,MOULINS
81,NICE,2,MARSEILLE,NICE,TOULON,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
191,NICE,1,NICE,AIX-EN-PROVENCE,DRAGUIGNAN,TOULON,PERPIGNAN,NANCY
199,NICE,2,TOULON,NICE,MONTPELLIER,PERPIGNAN,BEZIERS,NANCY
276,NICE,2,TOULON,NICE,NIMES,TOULOUSE,SAINT-NAZAIRE,NANCY
88,NIMES,2,TOULON,NIMES,VALENCE,SAINT-ETIENNE,CLERMONT-FERRAND,NANCY
173,NIMES,1,NIMES,AVIGNON,TOULOUSE,BEZIERS,PERPIGNAN,CASTRES
80,NIORT,5,PARIS,CRETEIL,EVRY,PONTOISE,NIORT,PAU
151,ORLEANS,1,ORLEANS,RENNES,POITIERS,TOULON,SAINT-NAZAIRE,NANCY
257,ORLEANS,1,ORLEANS,LE HAVRE,AMIENS,POITIERS,BOULOGNE-SUR-MER,NANCY
297,ORLEANS,2,VERSAILLES,ORLEANS,ROUEN,SAINT-ETIENNE,BEAUVAIS,CLERMONT-FERRAND
247,PARIS,1,PARIS,LILLE,STRASBOURG,TOULOUSE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
35,PAU,3,POITIERS,ANGOULEME,PAU,BAYONNE,PERIGUEUX,LIMOGES
213,PAU,3,PERPIGNAN,MONTPELLIER,PAU,AGEN,BEZIERS,NARBONNE
248,PAU,2,REIMS,PAU,NANCY,GRENOBLE,CLERMONT-FERRAND,PERPIGNAN
94,PERIGUEUX,2,ANGOULEME,PERIGUEUX,POITIERS,LIMOGES,PAU,BERGERAC
145,PERIGUEUX,1,PERIGUEUX,BERGERAC,PAU,BRIVE-LA-GAILLARDE,SAINTES,MONT-DE-MARSAN
103,PERPIGNAN,1,PERPIGNAN,NARBONNE,CARPENTRAS,AVIGNON,NIMES,LES SABLES-D'OLONNE
106,PERPIGNAN,2,TOULON,PERPIGNAN,NARBONNE,BEZIERS,AVIGNON,PAU
203,PERPIGNAN,1,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE
206,PERPIGNAN,1,PERPIGNAN,GRASSE,NICE,CLERMONT-FERRAND,TOULON,SAINT-NAZAIRE
115,POITIERS,1,POITIERS,ANGERS,SAINT-ETIENNE,LILLE,PAU,SAINT-NAZAIRE
175,POITIERS,1,POITIERS,TOURS,BESANCON,BOURG-EN-BRESSE,LIMOGES,CLERMONT-FERRAND
234,POITIERS,1,POITIERS,ANGERS,CHARTRES,NIORT,LE MANS,SAINT-NAZAIRE
239,POITIERS,1,POITIERS,BESANCON,LILLE,BETHUNE,BOULOGNE-SUR-MER,NANCY
11,PONTOISE,1,PONTOISE,NANTERRE,BOBIGNY,EVRY,SENLIS,BEAUVAIS
39,PONTOISE,1,PONTOISE,MARSEILLE,AVIGNON,TROYES,NANCY,PAU
104,PONTOISE,2,BOBIGNY,PONTOISE,EVRY,LILLE,BEAUVAIS,SENLIS
170,PONTOISE,1,PONTOISE,NANTERRE,CRETEIL,EVRY,PERPIGNAN,BOULOGNE-SUR-MER
252,PONTOISE,1,PONTOISE,VERSAILLES,BOBIGNY,EVRY,SENLIS,BEAUVAIS
260,PONTOISE,1,PONTOISE,NANTERRE,ANGOULEME,COMPIEGNE,NANCY,METZ
181,PRIVAS,3,VALENCE,AVIGNON,PRIVAS,BEZIERS,NARBONNE,LE PUY-EN-VELAY
205,PRIVAS,4,VALENCE,AVIGNON,CARPENTRAS,PRIVAS,BEZIERS,PERPIGNAN
68,QUIMPER,1,QUIMPER,LORIENT,BREST,CAEN,SAINT-NAZAIRE,LES SABLES-D'OLONNE
269,QUIMPER,2,LORIENT,QUIMPER,RENNES,SAINT-NAZAIRE,LE MANS,COUTANCES
71,REIMS,2,RENNES,REIMS,ROUEN,LILLE,NANCY,METZ
215,REIMS,1,REIMS,ORLEANS,LE MANS,EVREUX,BEAUVAIS,BOULOGNE-SUR-MER
273,REIMS,1,REIMS,STRASBOURG,LILLE,NANCY,METZ,ROUEN
136,RENNES,1,RENNES,LILLE,LE HAVRE,CAEN,SAINT-NAZAIRE,BOULOGNE-SUR-MER
138,RENNES,1,RENNES,NANTERRE,LAVAL,PONTOISE,NANCY,METZ
96,ROANNE,5,LYON,VILLEFRANCHE-SUR-SAONE,SAINT-ETIENNE,VALENCE,ROANNE,LONS-LE-SAUNIER
69,ROUEN,1,ROUEN,LE HAVRE,AMIENS,CAEN,BOULOGNE-SUR-MER,COUTANCES
202,ROUEN,1,ROUEN,LILLE,TOULOUSE,GRASSE,NANCY,LIMOGES
218,ROUEN,1,ROUEN,TOURS,ORLEANS,LILLE,NANCY,SENLIS
293,ROUEN,1,ROUEN,CHARTRES,ORLEANS,TROYES,AUXERRE,PAU
40,SAINT-BRIEUC,2,CLERMONT-FERRAND,SAINT-BRIEUC,SAINT-MALO,BRIVE-LA-GAILLARDE,VANNES,QUIMPER
171,SAINT-BRIEUC,5,RENNES,TOURS,POITIERS,LYON,SAINT-BRIEUC,BOULOGNE-SUR-MER
265,SAINT-BRIEUC,6,ANGERS,CHARTRES,LE MANS,LA ROCHE-SUR-YON,SAINT-NAZAIRE,SAINT-BRIEUC
